route_id,route_type,original_ship_id,new_ship_id,original_frequency,new_frequency,original_profit,new_profit,status
R01,wajib,KM-02,NONE,84,0,20704530368.725647,0.0,Unassigned (No valid ship)
R02,wajib,KM-31,KM-05,96,12,-1585792263.4916286,2093998554.2127368,Optimized
R03,wajib,KM-15,KM-32,14,2,-331544811.55639267,311511197.59911335,Optimized
R11,rancangan,KM-10,KM-32,21,17,3177066040.444065,5087598670.490361,Optimized
R04,rancangan,KM-09,NONE,7,0,12197040268.993534,0.0,Suspended (Constraints)
R07,rancangan,KM-16,KM-09,6,2,1961132484.619331,2995519308.1886086,Optimized
R06,rancangan,KM-20,NONE,5,0,3095235373.4598184,0.0,Suspended (Constraints)
R09,rancangan,KM-06,KM-09,3,2,933860793.2965753,1872661085.731761,Optimized
R16,rancangan,KM-32,KM-28,4,4,354009758.2536531,332554719.65664685,Optimized
R10,rancangan,KM-08,KM-08,3,2,1180762643.7508373,1704549893.8804672,Optimized
R08,rancangan,KM-35,KM-05,4,1,12149878.555631638,606132821.4399346,Optimized
R05,rancangan,KM-23,KM-23,7,3,-140359661.20205474,396134570.44080245,Optimized
R15,rancangan,KM-34,KM-28,5,2,-506823344.5026635,27947611.78066975,Optimized
R12,rancangan,KM-12,KM-23,4,2,-85466733.59794497,417140892.16594386,Optimized
R14,rancangan,KM-21,SUSPENDED,3,0,-551418762.5402586,0.0,Suspended
R13,rancangan,KM-14,SUSPENDED,2,0,-701498431.4158295,0.0,Suspended
